Genre_A,Genre_B,Title
인디,캐주얼,Talesshop Puzzle
어드벤처,,Tell Me Why
어드벤처,인디,Some Some Convenience Store
어드벤처,캐주얼,Some Some Convenience Store
인디,캐주얼,Some Some Convenience Store
액션,어드벤처,A Way Out
액션,인디,A Way Out
어드벤처,인디,A Way Out
스포츠,시뮬레이션,Tennis World Tour 2
액션,,Battlefield™ V
무료,어드벤처,There is no game: Jam Edition 2015
무료,인디,There is no game: Jam Edition 2015
무료,캐주얼,There is no game: Jam Edition 2015
어드벤처,인디,There is no game: Jam Edition 2015
어드벤처,캐주얼,There is no game: Jam Edition 2015
인디,캐주얼,There is no game: Jam Edition 2015
RPG,대규모 멀티플레이어,Bless Unleashed
RPG,무료,Bless Unleashed
RPG,액션,Bless Unleashed
대규모 멀티플레이어,무료,Bless Unleashed
대규모 멀티플레이어,액션,Bless Unleashed
무료,액션,Bless Unleashed
무료,액션,Portal Reloaded
액션,캐주얼,Puyo Puyo™ Tetris? 2
RPG,어드벤처,Monster Hunter Stories 2: Wings of Ruin
스포츠,앞서 해보기,FortressV2
스포츠,액션,FortressV2
스포츠,인디,FortressV2
스포츠,전략,FortressV2
스포츠,캐주얼,FortressV2
앞서 해보기,액션,FortressV2
앞서 해보기,인디,FortressV2
앞서 해보기,전략,FortressV2
앞서 해보기,캐주얼,FortressV2
액션,인디,FortressV2
액션,전략,FortressV2
액션,캐주얼,FortressV2
인디,전략,FortressV2
인디,캐주얼,FortressV2
전략,캐주얼,FortressV2
무료,어드벤처,Samsara Room
무료,인디,Samsara Room
어드벤처,인디,Samsara Room
무료,어드벤처,Helltaker
무료,인디,Helltaker
어드벤처,인디,Helltaker
액션,어드벤처,UNBEATABLE [white label]
액션,인디,UNBEATABLE [white label]
어드벤처,인디,UNBEATABLE [white label]
RPG,어드벤처,DRAGON QUEST XI S: Echoes of an Elusive Age ? Definitive Edition
무료,액션,Super Bomberman R Online
무료,캐주얼,Super Bomberman R Online
액션,캐주얼,Super Bomberman R Online
스포츠,시뮬레이션,EA SPORTS™ FIFA 21
RPG,대규모 멀티플레이어,RuneScape
RPG,무료,RuneScape
대규모 멀티플레이어,무료,RuneScape
액션,인디,Sakuna: Of Rice and Ruin
무료,인디,Virtual Cottage
무료,캐주얼,Virtual Cottage
인디,캐주얼,Virtual Cottage
인디,캐주얼,Cats Organized Neatly
RPG,시뮬레이션,三?群英?
RPG,액션,三?群英?
RPG,전략,三?群英?
시뮬레이션,액션,三?群英?
시뮬레이션,전략,三?群英?
액션,전략,三?群英?
RPG,무료,세 장의 카드
RPG,액션,세 장의 카드
